endOfGameStatDescs,iconPath,id,longDesc,name,shortDesc,tooltip
['Total activations: @eogvar1@'],/lol-game-data/assets/v1/perk-images/Styles/Sorcery/KSSpellslingersSurge/KSSpellslingersSurge.png,8230,"Hitting an enemy champion with 3 attacks or <b>separate</b> abilities within 3s grants 15 - 40% Movement Speed based on level.<br><br>Duration: 3s<br>Cooldown: 15s<br><i>Melee:</i> Additionally, gain 75% Slow Resistance for the duration.",Phase Rush,"Hitting an enemy champion with 3 <b>separate</b> attacks or abilities grants a burst of <lol-uikit-tooltipped-keyword key=""LinkTooltip_Description_MS"">MS</lol-uikit-tooltipped-keyword>. ","Hitting an enemy champion with 3 attacks or <b>separate</b> abilities within 3s grants 15 - 40% Movement Speed based on level.<br><br>Duration: 3s<br>Cooldown: 15s<br><i>Melee:</i> Additionally, gain 75% Slow Resistance for the duration.<br><hr><br>Haste Bonus: @f2.2*100@%"
[],/lol-game-data/assets/v1/perk-images/Styles/RunesIcon.png,8109,"+11 Attack Damage or +18 Ability Power, <lol-uikit-tooltipped-keyword key='LinkTooltip_Description_Adaptive'><font color='#48C4B7'>Adaptive</font></lol-uikit-tooltipped-keyword>",The Ingenious Hunter,<pathBonus><pathDomination>Domination</pathDomination> + <pathInspiration>Inspiration</pathInspiration> Set Bonus</pathBonus>,"<pathDomination>Domination</pathDomination> + <pathInspiration>Inspiration</pathInspiration><br>+11 Attack Damage or +18 Ability Power, <lol-uikit-tooltipped-keyword key='LinkTooltip_Description_Adaptive'><font color='#48C4B7'>Adaptive</font></lol-uikit-tooltipped-keyword><br>Current Bonus: <scaleAD>+@f1@ <scaleAD>Attack Damage</scaleAD></scaleAD>"
['Total Stacks: @eogvar1@'],/lol-game-data/assets/v1/perk-images/Styles/Domination/ProlificHunter/ProlificHunter.png,8105,Gain 8 <b>out of combat Movement Speed</b> plus 8 per <i>Bounty Hunter</i> stack.<br><br>Earn a <i>Bounty Hunter</i> stack the first time you get a takedown on each enemy champion.,Relentless Hunter,"<b>Unique</b> <lol-uikit-tooltipped-keyword key=""LinkTooltip_Description_Takedown"">takedowns</lol-uikit-tooltipped-keyword> grant permanent <b>out of combat <lol-uikit-tooltipped-keyword key=""LinkTooltip_Description_MS"">MS</lol-uikit-tooltipped-keyword></b>. ",Gain 8 <b>out of combat Movement Speed</b> plus 8 per <i>Bounty Hunter</i> stack.<br><br>Earn a <i>Bounty Hunter</i> stack the first time you get a takedown on each enemy champion.<br><hr><br>Stacks earned: @f1@/5
"['Bonus Healing: @eogvar1@', 'Bonus Shielding: @eogvar2@']",/lol-game-data/assets/v1/perk-images/Styles/Resolve/AmpShields/AmpShields.png,8453,Heals and shields you cast are 5% stronger and increased by an additional 10% on targets below 40% health.,Revitalize,Heals and shields you cast are 5% stronger and increased by an additional 10% on low health targets.,Heals and shields you cast are 5% stronger and increased by an additional 10% on targets below 40% health.<br><hr><br><scaleAD>Bonus healing</scaleAD>: @f1@<br><scaleAD>Bonus shielding</scaleAD>: @f2@
['Total Bonus AD/AP: @eogvar1@'],/lol-game-data/assets/v1/perk-images/Styles/Sorcery/Roamer/Roamer.png,8232,Gain 25 Movement Speed and an <lol-uikit-tooltipped-keyword key='LinkTooltip_Description_Adaptive'><font color='#48C4B7'>adaptive</font></lol-uikit-tooltipped-keyword> bonus of up to 18 Attack Damage or 30 Ability Power (based on level) when in the river.<br><br><hr></hr><br><i>May you be as swift as the rushing river and agile as a startled Rift Scuttler.</i><br>,Waterwalking,"Gain <lol-uikit-tooltipped-keyword key=""LinkTooltip_Description_MS"">MS</lol-uikit-tooltipped-keyword> and AP or AD, <lol-uikit-tooltipped-keyword key=""LinkTooltip_Description_Adaptive"">adaptive</lol-uikit-tooltipped-keyword> in the river.",Gain 25 Movement Speed and an <lol-uikit-tooltipped-keyword key='LinkTooltip_Description_Adaptive'><font color='#48C4B7'>adaptive</font></lol-uikit-tooltipped-keyword> bonus of up to 18 Attack Damage or 30 Ability Power (based on level) when in the river.
[],/lol-game-data/assets/v1/perk-images/Styles/RunesIcon.png,8414,+130 Health,The Imperious Behemoth,<pathBonus><pathResolve>Resolve</pathResolve> + <pathPrecision>Precision</pathPrecision> Set Bonus</pathBonus>,<pathResolve>Resolve</pathResolve> + <pathPrecision>Precision</pathPrecision><br>+130 Health
[],/lol-game-data/assets/v1/perk-images/Styles/RunesIcon.png,8320,+20% Potion and Elixir Duration<br>+145 Health,The Timeless,<pathBonus><pathInspiration>Inspiration</pathInspiration> + <pathResolve>Resolve</pathResolve> Set Bonus</pathBonus>,<pathInspiration>Inspiration</pathInspiration> + <pathResolve>Resolve</pathResolve><br>+20% Potion and Elixir Duration<br>+145 Health
['Total Health Restored: @eogvar1@'],/lol-game-data/assets/v1/perk-images/Styles/Precision/DangerousGame.png,9111,Takedowns restore 15% of your missing health and grant an additional 25 gold. <br><br><hr></hr><br><i>'The most dangerous game brings the greatest glory.' <br>—Noxian Reckoner</i>,Triumph,"<lol-uikit-tooltipped-keyword key=""LinkTooltip_Description_Takedown"">Takedowns</lol-uikit-tooltipped-keyword> restore 15% of your missing health and grant an additional 25 gold. ",Takedowns restore 15% of your missing health and grant an additional 25 gold. <br><hr><br>Total health restored: <scaledAD>@f1@</scaleAD><br>Total bonus gold granted: <scaledAD>@f2@</scaleAD>
['Total time active: @eogvar1@'],/lol-game-data/assets/v1/perk-images/Styles/Sorcery/FlawlessCombatant/FlawlessCombatant.png,8233,"While above 70% health, gain an <lol-uikit-tooltipped-keyword key='LinkTooltip_Description_Adaptive'><font color='#48C4B7'>adaptive</font></lol-uikit-tooltipped-keyword> bonus of up to 24 Attack Damage or 40 Ability Power (based on level).",Absolute Focus,"While above 70% health, gain extra <lol-uikit-tooltipped-keyword key=""LinkTooltip_Description_AdaptiveDmg"">adaptive damage</lol-uikit-tooltipped-keyword>.","While above 70% health, gain an <lol-uikit-tooltipped-keyword key='LinkTooltip_Description_Adaptive'><font color='#48C4B7'>adaptive</font></lol-uikit-tooltipped-keyword> bonus of up to 24 Attack Damage or 40 Ability Power (based on level).<br><hr><br>Current Bonus: <scaleAD>+@f1@ <scaleAD>Attack Damage</scaleAD></scaleAD>"
[],/lol-game-data/assets/v1/perk-images/Styles/RunesIcon.png,8319,"+20% Potion and Elixir Duration<br>+16 Attack Damage or +27 Ability Power, <lol-uikit-tooltipped-keyword key='LinkTooltip_Description_Adaptive'><font color='#48C4B7'>Adaptive</font></lol-uikit-tooltipped-keyword>",The Stargazer,<pathBonus><pathInspiration>Inspiration</pathInspiration> + <pathSorcery>Sorcery</pathSorcery> Set Bonus</pathBonus>,"<pathInspiration>Inspiration</pathInspiration> + <pathSorcery>Sorcery</pathSorcery><br>+20% Potion and Elixir Duration<br>+16 Attack Damage or +27 Ability Power, <lol-uikit-tooltipped-keyword key='LinkTooltip_Description_Adaptive'><font color='#48C4B7'>Adaptive</font></lol-uikit-tooltipped-keyword><br>Current Bonus: <scaleAD>+@f1@ <scaleAD>Attack Damage</scaleAD></scaleAD>"
['Total Mana Restored: @eogvar1@'],/lol-game-data/assets/v1/perk-images/Styles/Precision/LastResort/LastResortIcon.png,8009,For 5s after gaining a level or takedown any mana you spend is fully restored.,Presence of Mind,For 5s after gaining a level or takedown any mana you spend is fully restored.,For 5s after gaining a level or takedown any mana you spend is fully restored.<br><hr><br>Mana from Leveling: <scaleAD>@f2@</scaleAD><br>Mana from Takedowns: <scaleAD>@f3@</scaleAD>
['Bonus Damage: @eogvar1@'],/lol-game-data/assets/v1/perk-images/Styles/Domination/DashAttack/DashAttack.png,8143,"After exiting stealth or using a dash, leap, blink, or teleport, dealing any damage to a champion grants you 10 Lethality and 8 Magic Penetration for 5s.<br><br>Cooldown: 4s",Sudden Impact,"Gain a burst of Lethality and Magic Penetration after using a dash, leap, blink, teleport, or when leaving stealth.","After exiting stealth or using a dash, leap, blink, or teleport, dealing any damage to a champion grants you 10 Lethality and 8 Magic Penetration for 5s.<br><br>Cooldown: 4s<br><hr><br>Bonus champion damage: @f1@"
['Time Completed: @eogvar1@:@eogvar2@'],/lol-game-data/assets/v1/perk-images/Styles/Precision/Legend_Infamy.png,9103,"Gain 0.8% life steal for every <i>Legend</i> stack (max 10 stacks).<br><br>Earn progress toward <i>Legend</i> stacks for every champion takedown, epic monster takedown, large monster kill, and minion kill.",Legend: Bloodline,"<lol-uikit-tooltipped-keyword key=""LinkTooltip_Description_Takedown"">Takedowns</lol-uikit-tooltipped-keyword> on enemies grant permanent<b> Lifesteal</b>. ","Gain 0.8% life steal for every <i>Legend</i> stack (max 10 stacks).<br><br>Earn progress toward <i>Legend</i> stacks for every champion takedown, epic monster takedown, large monster kill, and minion kill.<br><hr><br>Total Life Steal Granted: <scaleAD>@f1*100@%</scaleAD> (@f3@ of 10)<br>Progress Towards Next Stack: @f2@%"
['Total Bonus Damage: @eogvar1@'],/lol-game-data/assets/v1/perk-images/Styles/Precision/CoupDeGrace/CoupDeGrace.png,8014,"Deal 10% more damage to champions who have less than 40% health.<br><br>Additionally, takedowns on champions grant an <lol-uikit-tooltipped-keyword key='LinkTooltip_Description_Adaptive'><font color='#48C4B7'>adaptive</font></lol-uikit-tooltipped-keyword> bonus of 9 Attack Damage or 15 Ability Power for 10s.",Coup de Grace,Deal more damage to low health enemy champions.,"Deal 10% more damage to champions who have less than 40% health.<br><br>Additionally, takedowns on champions grant an <lol-uikit-tooltipped-keyword key='LinkTooltip_Description_Adaptive'><font color='#48C4B7'>adaptive</font></lol-uikit-tooltipped-keyword> bonus of 9 Attack Damage or 15 Ability Power for 10s.<br><hr><br>Total bonus damage dealt: <scaleAD>@f1@</scaleAD>"
['Total Bonus Damage: @eogvar1@'],/lol-game-data/assets/v1/perk-images/Styles/Sorcery/Spellburn/Spellburn.png,8237,Your next ability hit sets champions on fire dealing 30 - 60 bonus magic damage based on level after 1s.<br><br>Cooldown: 20s,Scorch,Your first ability hit every 20s burns champions.,Your next ability hit sets champions on fire dealing 30 - 60 bonus magic damage based on level after 1s.<br><br>Cooldown: 20s<br><hr><br>Current Damage: @f2@<br>Total Damage Dealt: @f1@
['Total Bonus Damage: @eogvar1@'],/lol-game-data/assets/v1/perk-images/Styles/Resolve/BrickHitHouse/BrickHitHouse.png,8446,"Charge up a powerful attack against a tower over 4s, while within 600 range of it. The charged attack deals 125 (+30% of your max health) bonus physical damage.<br><br>Cooldown: 45s",Demolish,Charge up a powerful attack against a tower while near it.,"Charge up a powerful attack against a tower over 4s, while within 600 range of it. The charged attack deals 125 (+30% of your max health) bonus physical damage.<br><br>Cooldown: 45s<br><hr><br>Cooldown remaining: <scaleAD>@f2@</scaleAD><br>Total bonus damage: <scaleAD>@f1@</scaleAD>"
['Total resource refunded: @eogvar1@'],/lol-game-data/assets/v1/perk-images/Styles/Sorcery/Clearcasting/Clearcasting.png,8226,"Every 60s, your next ability used has its mana or energy cost refunded, and restores 8% of your missing mana or energy.",Manaflow Band,Periodically your next ability used has its mana or energy cost refunded and restores some of your missing mana or energy.,"Every 60s, your next ability used has its mana or energy cost refunded, and restores 8% of your missing mana or energy.<br><hr><br>Total resource restored: @f1@"
[],/lol-game-data/assets/v1/perk-images/Styles/RunesIcon.png,8114,"+11 Attack Damage or +18 Ability Power, <lol-uikit-tooltipped-keyword key='LinkTooltip_Description_Adaptive'><font color='#48C4B7'>Adaptive</font></lol-uikit-tooltipped-keyword>",The Immortal Butcher,<pathBonus><pathDomination>Domination</pathDomination> + <pathResolve>Resolve</pathResolve> Set Bonus</pathBonus>,"<pathDomination>Domination</pathDomination> + <pathResolve>Resolve</pathResolve><br>+11 Attack Damage or +18 Ability Power, <lol-uikit-tooltipped-keyword key='LinkTooltip_Description_Adaptive'><font color='#48C4B7'>Adaptive</font></lol-uikit-tooltipped-keyword><br>Current Bonus: <scaleAD>+@f1@ <scaleAD>Attack Damage</scaleAD></scaleAD>"
"['Total damage: @eogvar1@', 'Total Healing: @eogvar2@']",/lol-game-data/assets/v1/perk-images/Styles/Resolve/KSRuinedKing/KSRuinedKing.png,8437,"Every 4s in combat, your next basic attack on a champion will: <li>Deal bonus magic damage equal to 4% of your max health</li><li>Heal you for 2% of your max health</li><li>Permanently increase your health by 5</li><br><rules><i>Ranged Champions:</i> Damage and healing are halved and gain 2 permanent health instead.</rules>",Grasp of the Undying,"Every 4s your next attack on a champion deals bonus magic damage, heals you, and permanently increases your health.","Every 4s in combat, your next basic attack on a champion will: <li>Deal bonus magic damage equal to 4% of your max health</li><li>Heal you for 2% of your max health</li><li>Permanently increase your health by 5</li><br><rules><i>Ranged Champions:</i> Damage and healing are halved and gain 2 permanent health instead.</rules><br><hr><br>Damage to Champions: <scaleHealth>@f1@</scaleHealth><br>Total Healing: <scaleHealth>@f2@</scaleHealth><br>Total Health Increase: <scaleHealth>@f3.-1@</scaleHealth>"
['Total Damage Dealt: @eogvar1@'],/lol-game-data/assets/v1/perk-images/Styles/Domination/TLords/TLords.png,8112,"Hitting a champion with 3 <b>separate</b> attacks or abilities within 3s deals bonus <lol-uikit-tooltipped-keyword key='LinkTooltip_Description_AdaptiveDmg'><font color='#48C4B7'>adaptive damage</font></lol-uikit-tooltipped-keyword>.<br><br>Damage: 50 - 220 (+0.5 bonus AD, +0.3 AP) damage.<br><br>Cooldown: 50 - 25s<br><br><hr></hr><i>'We called them the Thunderlords, for to speak of their lightning was to invite disaster.'</i>",Electrocute,"Hitting a champion with 3 <b>separate</b> attacks or abilities in 3s deals bonus <lol-uikit-tooltipped-keyword key=""LinkTooltip_Description_AdaptiveDmg"">adaptive damage</lol-uikit-tooltipped-keyword>.",Hitting a champion with 3 <b>separate</b> attacks or abilities within 3s deals bonus <lol-uikit-tooltipped-keyword key='LinkTooltip_Description_AdaptiveDmg'><font color='#48C4B7'>adaptive damage</font></lol-uikit-tooltipped-keyword>.<br>Cooldown: 50 - 25s<br><hr><br>Current damage: @f2@ (<scaleAP>+@f3@</scaleAP>) (<scaleAD>+@f4@</scaleAD>)<br>Total Damage Dealt: <scaleAD>@f1@</scaleAD>
[],/lol-game-data/assets/v1/perk-images/Styles/RunesIcon.png,8318,"+20% Potion and Elixir Duration<br>+16 Attack Damage or +27 Ability Power, <lol-uikit-tooltipped-keyword key='LinkTooltip_Description_Adaptive'><font color='#48C4B7'>Adaptive</font></lol-uikit-tooltipped-keyword>",The Ruthless Visionary,<pathBonus><pathInspiration>Inspiration</pathInspiration> + <pathDomination>Domination</pathDomination> Set Bonus</pathBonus>,"<pathInspiration>Inspiration</pathInspiration> + <pathDomination>Domination</pathDomination><br>+20% Potion and Elixir Duration<br>+16 Attack Damage or +27 Ability Power, <lol-uikit-tooltipped-keyword key='LinkTooltip_Description_Adaptive'><font color='#48C4B7'>Adaptive</font></lol-uikit-tooltipped-keyword><br>Current Bonus: <scaleAD>+@f1@ <scaleAD>Attack Damage</scaleAD></scaleAD>"
['Total Damage to Champions: @eogvar1@'],/lol-game-data/assets/v1/perk-images/Styles/Domination/KSLycanthropy/KSLycanthropy.png,8124,"Enchants your boots with the active effect '<font color='#c60300'>Predator</font>.'<br><br>Channel for 1.5s out of combat to gain 45% movement speed for 15s. Damaging attacks or abilities end this effect, dealing 60 - 180 (+<scaleAD>0.4</scaleAD> bonus AD)(+<scaleAP>0.25</scaleAP> AP) bonus <lol-uikit-tooltipped-keyword key='LinkTooltip_Description_AdaptiveDmg'><font color='#48C4B7'>adaptive damage</font></lol-uikit-tooltipped-keyword>.<br><br>Cooldown: 150s - 100s. Starts the game on cooldown and goes on cooldown if interrupted while channeling.",Predator,"Add an active effect to your boots that grants a large boost of <lol-uikit-tooltipped-keyword key=""LinkTooltip_Description_MS"">MS</lol-uikit-tooltipped-keyword> and causes your next attack or ability to deal bonus <lol-uikit-tooltipped-keyword key=""LinkTooltip_Description_AdaptiveDmg"">adaptive damage</lol-uikit-tooltipped-keyword>.","Enchants your boots with the active effect <font color='#c60300'>Predator</font>.<br><br>Channel for 1.5s without taking or dealing damage to gain <font color='#FFFFFF'>@f8@%</font> increased movement speed for 15s. Damaging attacks or abilities end this effect, dealing <font color='#FFFFFF'>@f3@</font> <font color='#99FF99'>(+@f5@)</font> <font color='#FF8C00'>(+@f4@)</font> bonus damage. <br><br>Cooldown: @f7@s<br><hr><br>Damage Dealt To Champions: @f1@"
"['Gold Granted: @eogvar1@', 'Items Looted: @eogvar2@']",/lol-game-data/assets/v1/perk-images/Styles/Inspiration/KSLooter/KSLooter.png,8359,"After using an ability, your next attack will grant bonus gold if used on a champion. There's a chance you'll also gain a consumable.",Kleptomancy,"After using an ability, your next attack will grant bonus gold if used on a champion. There's a chance you'll also gain a consumable.","After using an ability, your next attack will grant bonus gold if used on a champion. There's a chance you'll also gain a consumable.<br><hr><br>Gold Gained: @f1@<br>Items Looted: @f3@"
['Total Stacks: @eogvar1@'],/lol-game-data/assets/v1/perk-images/Styles/Domination/BigGameHunter/BigGameHunter.png,8134,Gain 10% <b>Active Item CDR</b> plus an additional 6% per <i>Bounty Hunter</i> stack (includes Trinkets).<br><br>Earn a <i>Bounty Hunter</i> stack the first time you get a takedown on each enemy champion.,Ingenious Hunter,"<b>Unique</b> <lol-uikit-tooltipped-keyword key=""LinkTooltip_Description_Takedown"">takedowns</lol-uikit-tooltipped-keyword> grant permanent Active Item <lol-uikit-tooltipped-keyword key=""LinkTooltip_Description_CDR"">CDR</lol-uikit-tooltipped-keyword> (includes Trinkets).",Gain 10% <b>Active Item CDR</b> plus an additional 6% per <i>Bounty Hunter</i> stack (includes Trinkets).<br><br>Earn a <i>Bounty Hunter</i> stack the first time you get a takedown on each enemy champion.<br><hr><br>Stacks earned: @f1@/5
[],/lol-game-data/assets/v1/perk-images/Template/7000.png,7000,,Template,,
['Boots Arrival Time: @eogvar1@:@eogvar2@@eogvar3@'],/lol-game-data/assets/v1/perk-images/Styles/Inspiration/MagicalFootwear/MagicalFootwear.png,8304,"You get free Slightly Magical Boots at 10 min, but you cannot buy boots before then. For each takedown you acquire the boots 30s sooner.<br><br>Slightly Magical Boots give you an additional +10 Movement Speed and upgrade for 50 gold less.",Magical Footwear,"You get free boots at 10 min but you cannot buy boots before then. Each <lol-uikit-tooltipped-keyword key=""LinkTooltip_Description_Takedown"">takedown</lol-uikit-tooltipped-keyword> you get makes your boots come 30s sooner.","You get free Slightly Magical Boots at 10 min, but you cannot buy boots before then. For each takedown you acquire the boots 30s sooner.<br><br>Slightly Magical Boots give you an additional +10 Movement Speed and upgrade for 50 gold less.<br><hr><br><scaleAD>Boots arrival time:</scaleAD> @f1@:@f2@@f3@"
['Bonus Time Enemies Slowed: @eogvar1@s'],/lol-game-data/assets/v1/perk-images/Styles/Inspiration/KSGlacialAugment/KSGlacialAugment.png,8351,"Basic attacking a champion slows them for 2s. The slow increases in strength over its duration.<li><i>Ranged</i>: Ranged attacks slow by up to 20% - 40%</li> <li><i>Melee</i>: Melee attacks slow by up to 40% - 50%</li><br>Slowing a champion with active items shoots a freeze ray through them, freezing the nearby ground for 5s, slowing all units inside by 50%.<br><br>Cooldown: 7-4s per unit",Glacial Augment,"Your first attack against an enemy champion slows them (per unit cooldown). Slowing champions with active items shoots a freeze ray at them, creating a lingering slow zone.","Basic attacking a champion slows them for 2s. The slow increases in strength over its duration.<li><i>Ranged</i>: Ranged attacks slow by up to 20% - 40%</li> <li><i>Melee</i>: Melee attacks slow by up to 40% - 50%</li><br>Slowing a champion with active items shoots a freeze ray through them, freezing the nearby ground for 5s, slowing all units inside by 50%.<br><br>Cooldown: 7-4s per unit<br><hr><br>Time kept enemies slowed: @f1@s"
['--'],/lol-game-data/assets/v1/perk-images/Styles/Inspiration/TheThirdPath/TheThirdPath.png,8339,+100 Health permanently<br>-10% damage to champions and monsters until 10 min<br><br><hr></hr><br><i>'The greatest legends live on in the stars.' <br>—Daphna the Dreamer</i>,Celestial Body,+100 Health permanently<br>-10% damage to champions and monsters until 10 min,+100 Health permanently<br>-10% damage to champions and monsters until 10 min
[],/lol-game-data/assets/v1/perk-images/Styles/RunesIcon.png,8006,+18% Attack Speed,The Eternal Champion,<pathBonus><pathPrecision>Precision</pathPrecision> + <pathResolve>Resolve</pathResolve> Set Bonus</pathBonus>,<pathPrecision>Precision</pathPrecision> + <pathResolve>Resolve</pathResolve><br>+18% Attack Speed
[],/lol-game-data/assets/v1/perk-images/Styles/RunesIcon.png,8416,+130 Health,The Enlightened Titan,<pathBonus><pathResolve>Resolve</pathResolve> + <pathInspiration>Inspiration</pathInspiration> Set Bonus</pathBonus>,<pathResolve>Resolve</pathResolve> + <pathInspiration>Inspiration</pathInspiration><br>+130 Health
['Poros Spawned: @eogvar1@'],/lol-game-data/assets/v1/perk-images/Styles/Domination/ViciousPoro/ViciousPoro.png,8120,"Enter a brush to summon a poro after a brief channel. The poro will stay behind to give you vision until you summon a new one.<br><br>If an enemy enters brush with a poro in it, they scare it away, putting Ghost Poro on a 3s cooldown.<br><br>Poro channel is interrupted if you take damage.",Ghost Poro,"When you enter brush, a poro appears. It will stay behind to give you vision.","Enter a brush to summon a poro after a brief channel. The poro will stay behind to give you vision until you summon a new one.<br><br>If an enemy enters brush with a poro in it, they scare it away, putting Ghost Poro on a 3s cooldown.<br><br>Poro channel is interrupted if you take damage.<br><hr><br>Total poros spawned: <scaleAD>@f1@</scaleAD>"
['Bonus Tenacity per Activation: @eogvar1@'],/lol-game-data/assets/v1/perk-images/Styles/Sorcery/Recharge/Recharge.png,8242,"After casting a Summoner Spell, gain 15% Tenacity and Slow Resistance for 10s. Additionally, gain 10% Tenacity and Slow Resistance for each Summoner Spell on cooldown. ",Unflinching,"After casting a Summoner Spell, gain Tenacity and Slow Resistance for a short duration. Additionally, gain Tenacity and Slow Resistance for each Summoner Spell on cooldown. ","After casting a Summoner Spell, gain 15% Tenacity and Slow Resistance for 10s. Additionally, gain 10% Tenacity and Slow Resistance for each Summoner Spell on cooldown. <br><hr><br>Current Bonus Tenacity: @f1.-1@<br>Current Bonus Slow Resist: @f2@"
[],/lol-game-data/assets/v1/perk-images/Styles/RunesIcon.png,8127,"+11 Attack Damage or +18 Ability Power, <lol-uikit-tooltipped-keyword key='LinkTooltip_Description_Adaptive'><font color='#48C4B7'>Adaptive</font></lol-uikit-tooltipped-keyword>",The Glorious Executioner,<pathBonus><pathDomination>Domination</pathDomination> + <pathPrecision>Precision</pathPrecision> Set Bonus</pathBonus>,"<pathDomination>Domination</pathDomination> + <pathPrecision>Precision</pathPrecision><br>+11 Attack Damage or +18 Ability Power, <lol-uikit-tooltipped-keyword key='LinkTooltip_Description_Adaptive'><font color='#48C4B7'>Adaptive</font></lol-uikit-tooltipped-keyword><br>Current Bonus: <scaleAD>+@f1@ <scaleAD>Attack Damage</scaleAD></scaleAD>"
['Total Bonus Damage: @eogvar1@'],/lol-game-data/assets/v1/perk-images/Styles/Sorcery/ToTheDeath/ToTheDeath.png,8299,Deal 5% - 12% increased damage to champions while you are below 60% health. Max damage gained at 30% health.,Last Stand,Deal more damage to champions while you are low on health.,Deal 5% - 12% increased damage to champions while you are below 60% health. Max damage gained at 30% health.<br><br><rules>Minimum bonus is 5%.<br>Maximum bonus is granted while below 30% health.</rules><br><hr><br>Total bonus damage: <scaleAD>@f1@</scaleAD>
['Total Healing: @eogvar1@'],/lol-game-data/assets/v1/perk-images/Styles/Resolve/SecondWind/SecondWind.png,8444,"After taking damage from an enemy champion, heal for 4% of your missing health +6 over 10s.",Second Wind,After taking damage from an enemy champion heal back some missing health over time. ,"After taking damage from an enemy champion, heal for 4% of your missing health +6 over 10s.<br><hr><br><scaleAD>Total healing: @f1@</scaleAD>"
['Total Ally Healing: @eogvar1@'],/lol-game-data/assets/v1/perk-images/Styles/Resolve/BloodFromStone/BloodFromStone.png,8463,Impairing the movement of an enemy champion marks them for 4s.<br><br>Ally champions who attack marked enemies heal for 5 + 1% of your max health over 2s. ,Font of Life,"<lol-uikit-tooltipped-keyword key=""LinkTooltip_Description_ImpairMov"">Impairing</lol-uikit-tooltipped-keyword> the movement of an enemy champion marks them. Your allies heal when attacking champions you've marked. ",Impairing the movement of an enemy champion marks them for 4s.<br><br>Ally champions who attack marked enemies heal for 5 + 1% of your max health over 2s. 
[],/lol-game-data/assets/v1/perk-images/Styles/RunesIcon.png,8205,"+15 Attack Damage or +25 Ability Power, <lol-uikit-tooltipped-keyword key='LinkTooltip_Description_Adaptive'><font color='#48C4B7'>Adaptive</font></lol-uikit-tooltipped-keyword>",The Incontestable Spellslinger,<pathBonus><pathSorcery>Sorcery</pathSorcery> + <pathPrecision>Precision</pathPrecision> Set Bonus</pathBonus>,"<pathSorcery>Sorcery</pathSorcery> + <pathPrecision>Precision</pathPrecision><br>+15 Attack Damage or +25 Ability Power, <lol-uikit-tooltipped-keyword key='LinkTooltip_Description_Adaptive'><font color='#48C4B7'>Adaptive</font></lol-uikit-tooltipped-keyword><br>Current Bonus: <scaleAD>+@f1@ <scaleAD>Attack Damage</scaleAD></scaleAD>"
['Total Bonus AD/AP: @eogvar1@'],/lol-game-data/assets/v1/perk-images/Styles/Sorcery/ElderGod/ElderGod.png,8236,"Every 10 min gain AP or AD, <lol-uikit-tooltipped-keyword key='LinkTooltip_Description_Adaptive'><font color='#48C4B7'>adaptive</font></lol-uikit-tooltipped-keyword>.<br><br><i>10 min</i>: + 8 AP or 5 AD <br><i>20 min</i>: + 24 AP or 14 AD<br><i>30 min</i>: + 48 AP or 29 AD<br><i>40 min</i>: + 80 AP or 48 AD<br><i>50 min</i>: + 120 AP or 72 AD<br><i>60 min</i>: + 168 AP or 101 AD<br>etc...",Gathering Storm,"Gain increasing amounts of AD or AP, <lol-uikit-tooltipped-keyword key=""LinkTooltip_Description_Adaptive"">adaptive</lol-uikit-tooltipped-keyword> over the course of the game.","Every 10 min gain AP or AD, <lol-uikit-tooltipped-keyword key='LinkTooltip_Description_Adaptive'><font color='#48C4B7'>adaptive</font></lol-uikit-tooltipped-keyword>.<br><br><i>10 min</i>: + 8 AP or 5 AD <br><i>20 min</i>: + 24 AP or 14 AD<br><i>30 min</i>: + 48 AP or 29 AD<br><i>40 min</i>: + 80 AP or 48 AD<br><i>50 min</i>: + 120 AP or 72 AD<br><i>60 min</i>: + 168 AP or 101 AD<br>etc...<br><hr><br>Current Bonus: <scaleAD>+@f1@ <scaleAD>Attack Damage</scaleAD></scaleAD>"
[],/lol-game-data/assets/v1/perk-images/Styles/RunesIcon.png,8007,+18% Attack Speed,The Savant,<pathBonus><pathPrecision>Precision</pathPrecision> + <pathInspiration>Inspiration</pathInspiration> Set Bonus</pathBonus>,<pathPrecision>Precision</pathPrecision> + <pathInspiration>Inspiration</pathInspiration><br>+18% Attack Speed
['Wards Corrupted: @eogvar1@'],/lol-game-data/assets/v1/perk-images/Styles/Domination/ZombieWard/ZombieWard.png,8136,"After killing a ward, a friendly Zombie Ward is raised in its place. Additionally, when your wards expire, they reanimate as Zombie Wards.<br><br>Zombie Wards are visible, last for 180s and don't count towards your ward limit.",Zombie Ward,"After killing a ward, a friendly Zombie Ward is raised in its place. When your wards expire, they also reanimate as Zombie Wards.","After killing a ward, a friendly Zombie Ward is raised in its place. Additionally, when your wards expire, they reanimate as Zombie Wards.<br><br>Zombie Wards are visible, last for 180s and don't count towards your ward limit.<br><hr><br>Wards corrupted: <scaleAD>@f1@</scaleAD>"
['Percent of game active: @eogvar1@%'],/lol-game-data/assets/v1/perk-images/Styles/Resolve/NemMarks/NemMarks.png,8430,"Gain +5 Armor. <br><br>Heal effects from consumables, heals for at least 20 health and shields increase your Armor by 5% for 3s.",Iron Skin,"Gain +5 Armor. <br>Heals, including consumables, increase your Armor by 5% temporarily.","Gain +5 Armor. <br><br>Heal effects from consumables, heals for at least 20 health and shields increase your Armor by 5% for 3s."
